double,strtod_l,"(const char *nptr, char **endptr, locale_t loc);",double,wcstod_l,"(const wchar_t *nptr, wchar_t **endptr, locale_t loc);",double,tcstod_l,"(const tchar *nptr, tchar **endptr, locale_t loc);"
float,strtof_l,"(const char *nptr, char **endptr, locale_t loc);",float,wcstof_l,"(const wchar_t *nptr, wchar_t **endptr, locale_t loc);",float,tcstof_l,"(const tchar *nptr, tchar **endptr, locale_t loc);"
long double,strtold_l,"(const char *nptr, char **endptr, locale_t loc);",long double,wcstold_l,"(const wchar_t *nptr, wchar_t **endptr, locale_t loc);",long double,tcstold_l,"(const tchar *nptr, tchar **endptr, locale_t loc);"
char *,l64a,(long int n);,,,,,,
long int,a64l,(const char *s);,,,,,,
char *,getenv,(const char *name);,,,,,,
char *,secure_getenv,(const char *name);,,,,,,
int,putenv,(char *string);,,,,,,
int,setenv,"(const char *name, const char *value, int replace);",,,,,,
int,unsetenv,(const char *name);,,,,,,
int,clearenv,(void);,,,,,,
int,fprintf,"(FILE *stream, const char *format, ...);",int,fwprintf,"(FILE *stream, const wchar_t *format, ...);",int,ftprintf,"(FILE *stream, const tchar *format, ...);"
int,printf,"(const char *format, ...);",int,wprintf,"(const wchar_t *format, ...);",int,tprintf,"(const tchar *format, ...);"
int,sprintf,"(char *s, const char *format, ...);",,,,,,
int,vfprintf,"(FILE *s, const char *format, va_list arg);",int,vfwprintf,"(FILE *s, const wchar_t *format, va_list arg);",int,vftprintf,"(FILE *s, const tchar *format, va_list arg);"
int,vprintf,"(const char *format, va_list arg);",int,vwprintf,"(const wchar_t *format, va_list arg);",int,vtprintf,"(const tchar *format, va_list arg);"
int,vsprintf,"(char *s, const char *format, va_list arg);",,,,,,
int,snprintf,"(char *s, size_t maxlen, const char *format, ...);",int,swprintf,"(wchar_t *s, size_t maxlen, const wchar_t *format, ...);",int,stprintf,"(tchar *s, size_t maxlen, const tchar *format, ...);"
int,vsnprintf,"(char *s, size_t maxlen, const char *format, va_list arg);",int,vswprintf,"(wchar_t *s, size_t maxlen, const wchar_t *format, va_list arg);",int,vstprintf,"(tchar *s, size_t maxlen, const tchar *format, va_list arg);"
int,vasprintf,"(char **ptr, const char *f, va_list arg);",,,,,,
int,asprintf,"(char **ptr, const char *fmt, ...);",,,,,,
int,vdprintf,"(int fd, const char *fmt, va_list arg);",,,,,,
int,dprintf,"(int fd, const char *fmt, ...);",,,,,,
int,fscanf,"(FILE *stream, const char *format, ...);",int,fwscanf,"(FILE *stream, const wchar_t *format, ...);",int,ftscanf,"(FILE *stream, const tchar *format, ...);"
int,scanf,"(const char *format, ...);",int,wscanf,"(const wchar_t *format, ...);",int,tscanf,"(const tchar *format, ...);"
int,sscanf,"(const char *s, const char *format, ...);",int,swscanf,"(const wchar_t *s, const wchar_t *format, ...);",int,stscanf,"(const tchar *s, const tchar *format, ...);"
int,vfscanf,"(FILE *s, const char *format, va_list arg);",int,vfwscanf,"(FILE *s, const wchar_t *format, va_list arg);",int,vftscanf,"(FILE *s, const tchar *format, va_list arg);"
int,vscanf,"(const char *format, va_list arg);",int,vwscanf,"(const wchar_t *format, va_list arg);",int,vtscanf,"(const tchar *format, va_list arg);"
int,vsscanf,"(const char *s, const char *format, va_list arg);",int,vswscanf,"(const wchar_t *s, const wchar_t *format, va_list arg);",int,vstscanf,"(const tchar *s, const tchar *format, va_list arg);"
int,fgetc,(FILE *stream);,wint_t,fgetwc,(FILE *stream);,tint_t,fgettc,(FILE *stream);
int,getc,(FILE *stream);,wint_t,getwc,(FILE *stream);,tint_t,gettc,(FILE *stream);
int,getchar,(void);,wint_t,getwchar,(void);,tint_t,gettchar,(void);
int,getc_unlocked,(FILE *stream);,wint_t,getwc_unlocked,(FILE *stream);,tint_t,gettc_unlocked,(FILE *stream);
int,getchar_unlocked,(void);,wint_t,getwchar_unlocked,(void);,tint_t,gettchar_unlocked,(void);
int,fgetc_unlocked,(FILE *stream);,wint_t,fgetwc_unlocked,(FILE *stream);,tint_t,fgettc_unlocked,(FILE *stream);
int,fputc,"(int c, FILE *stream);",wint_t,fputwc,"(wchar_t wc, FILE *stream);",tint_t,fputtc,"(tchar tc, FILE *stream);"
int,putc,"(int c, FILE *stream);",wint_t,putwc,"(wchar_t wc, FILE *stream);",tint_t,puttc,"(tchar tc, FILE *stream);"
